TB BLOCK_SIZE REPS X EXEC_TIME(ms) ENERGY(mJ) GFLOPS
78 1024 1270950 3 1967.17126 193367.63861918886107653048 1548.099059 
52 1024 1975327 3 2249.97408 224379.35307257000000000000 1402.436171 
156 1024 651825 3 2028.94130 202480.13850937000000000000 1539.607606 
104 1024 955896 3 1972.70085 194969.54344845459747712681 1548.112676 
130 1024 772901 3 2200.94510 219428.15894681653448568039 1402.424009 
182 1024 565163 3 2253.18523 225987.27316501500000000000 1402.412141 
208 1024 499768 3 2101.92021 208448.84026215197041170492 1519.295317 
234 1024 448508 3 2122.15044 210920.12902165977973360945 1519.270381 
260 1024 407156 3 2140.53694 213178.40631696500000000000 1519.268642 
26 1024 312555 3 162.18802 9022.01688240495797688728 1539.181653 
208 960 530345 3 2064.90451 206718.26351976695464079707 1538.554858 
156 960 692174 3 2153.85079 212723.35657906632372798574 1443.819328 
260 960 432008 3 2129.00227 211865.45001372384002822787 1519.461712 
182 960 599879 3 2241.16244 224681.69161528500000000000 1402.979626 
234 960 475899 3 2103.91147 212467.55622587000000000000 1524.382764 
78 960 1358183 3 2174.63118 215761.95607699867775823340 1403.012621 
104 960 1017668 3 2006.01596 196345.86270082000000000000 1519.508658 
130 960 821449 3 2192.13613 218436.78898945769600500403 1402.974606 
52 960 2133671 3 2277.55456 227930.92219611711867089860 1402.964981 
26 960 312555 3 152.16242 8396.86601362193226765326 1538.062730 
52 896 2323944 3 2100.32188 209864.30392712500000000000 1546.563810 
78 896 1459983 3 2009.28317 199755.36716830000000000000 1523.461906 
156 896 738286 3 2020.21911 202178.93894982645560158221 1532.429170 
104 896 1088927 3 2170.20057 215598.80543851083659176376 1402.693539 
130 896 877122 3 1981.90460 196147.49710965513784075157 1546.511679 
182 896 639467 3 2230.35581 223488.02630202533957335655 1402.657177 
234 896 507059 3 2273.84311 228970.70212827500000000000 1402.626684 
208 896 565163 3 2252.78460 226306.20970226256580663996 1402.645206 
260 896 460262 3 2099.16244 212126.75449861500000000000 1532.365036 
26 896 6251100 3 2824.72049 299595.69384946000000000000 1546.626396 
