TB BLOCK_SIZE REPS X EXEC_TIME(ms) ENERGY(mJ) GFLOPS
78 1024 1270950 3 1075.90123 79813.51806673444755244755 2830.571260 
52 1024 1975327 3 1297.30402 101817.80975376000000000000 2432.333121 
156 1024 651825 3 1107.83241 83587.56862081554143089071 2819.699285 
104 1024 955896 3 1078.99299 80230.25400842493662922685 2830.431720 
130 1024 772901 3 1269.08569 99052.35920919256328019973 2432.163403 
182 1024 565163 3 1299.24626 101953.44505048000000000000 2432.023300 
208 1024 499768 3 1194.32887 90829.06138098402953523731 2673.827490 
234 1024 448508 3 1205.80198 91877.45060505627443650686 2673.771237 
260 1024 407156 3 1216.26510 92885.37201396500000000000 2673.709452 
26 1024 312555 3 88.57546 4550.71883666166113371626 2818.259664 
208 960 530345 3 1201.80223 90685.54134136405387683919 2643.508863 
156 960 692174 3 1140.29420 86685.99299892726947476930 2727.187421 
260 960 432008 3 1208.55635 92217.01062433625187264458 2676.642393 
182 960 599879 3 1293.96837 101346.96719057500000000000 2429.930527 
234 960 475899 3 1220.85166 93807.23482161377723131766 2626.955322 
78 960 1358183 3 1255.52654 97694.56248195667335760536 2429.869256 
104 960 1017668 3 1138.66979 85672.92627461500000000000 2676.880056 
130 960 821449 3 1265.64680 98557.93598228000000000000 2429.959485 
52 960 2133671 3 1314.93655 103424.07550545500000000000 2430.109200 
26 960 312555 3 88.58125 4543.46630540500000000000 2642.177882 
52 896 2323944 3 1150.85678 86797.74203847535673598984 2822.520128 
78 896 1459983 3 1167.03784 88671.42999436000000000000 2622.922052 
156 896 738286 3 1102.48985 84374.62856332354054054054 2840.068068 
104 896 1088927 3 1250.20646 97078.48096723500000000000 2434.880596 
130 896 877122 3 1085.97130 80795.03772652143874652045 2822.411299 
182 896 639467 3 1284.87075 100278.54486097881078516686 2434.774439 
234 896 507059 3 1309.96312 102770.25313106832112881644 2434.704868 
208 896 565163 3 1297.80473 101612.55378785000000000000 2434.738963 
260 896 460262 3 1140.37423 87992.45356000570765635951 2840.448564 
26 896 6251100 3 1547.77398 124668.84511098317779387031 2822.625513 
