TB BLOCK_SIZE REPS X EXEC_TIME(ms) ENERGY(mJ) GFLOPS
78 1024 1270950 3 1967.18433 159716.36775254500000000000 1548.094829 
52 1024 1975327 3 2249.96008 189671.05727665500000000000 1402.443929 
156 1024 651825 3 2028.92984 165954.61376591659666347513 1539.614687 
104 1024 955896 3 1972.73378 160285.36099761500000000000 1548.094669 
130 1024 772901 3 2200.92342 184651.45564810163986654000 1402.437452 
182 1024 565163 3 2253.18764 189922.23996784500000000000 1402.394072 
208 1024 499768 3 2101.91086 171668.41783896371087647470 1519.327362 
234 1024 448508 3 2122.04653 173628.89166963169622012229 1519.349303 
260 1024 407156 3 2140.48430 175355.01730512217311842592 1519.318878 
26 1024 312555 3 162.18370 8593.97850567212549989611 1539.227329 
208 960 530345 3 2064.91551 169458.35296005000000000000 1538.553151 
156 960 692174 3 2153.81281 177148.36427464942265105980 1443.862875 
260 960 432008 3 2128.90612 174435.11694385841347379058 1519.490821 
182 960 599879 3 2241.16525 188871.33366732329417220590 1402.986103 
234 960 475899 3 2103.91050 173719.83190708590732421737 1524.385005 
78 960 1358183 3 2174.66883 182327.01746508783262607155 1403.004297 
104 960 1017668 3 2005.96173 162491.08669646000000000000 1519.526786 
130 960 821449 3 2192.13978 183978.34078145000000000000 1402.979821 
52 960 2133671 3 2277.56471 192702.30118047500000000000 1402.987825 
26 960 312555 3 152.15713 8035.73009543000000000000 1538.080550 
52 896 2323944 3 2100.32925 172687.33757581500000000000 1546.578099 
78 896 1459983 3 2009.29705 164392.49330820500000000000 1523.458518 
156 896 738286 3 2020.23194 167567.75805239500000000000 1532.411798 
104 896 1088927 3 2170.18191 182032.79286016500000000000 1402.697571 
130 896 877122 3 1981.91756 161217.14451384500000000000 1546.480383 
182 896 639467 3 2230.32504 187940.60165103000000000000 1402.652381 
234 896 507059 3 2273.85868 192336.42696609500000000000 1402.634809 
208 896 565163 3 2252.78590 190316.73150662000000000000 1402.650337 
260 896 460262 3 2099.16137 175516.19064922332198550406 1532.362029 
26 896 6251100 3 2824.76364 244749.12421547195974247595 1546.593126 
